Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Cycling,2024-04-19 12:45:38,false,"Indendørs cykling","27,66","634","01:03:12","129","149","--","26,3","28,2","--","--","NaN","NaN","NaN","NaN","83","91","143","28,7","152","140","164","NaN","NaN","5131","NaN","NaN","NaN","20,0","No","01:03:12","1","23,0","--","--","--","01:01:37","01:03:12","--","--"
Road Cycling,2024-04-16 09:23:59,false,"Silkeborg Cykling på vej","58,23","1.308","02:14:27","140","167","--","26,0","59,9","484","488","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","8,0","No","02:14:27","1","21,0","--","--","--","02:14:21","02:18:30","24","121"
Road Cycling,2024-04-13 10:13:59,false,"Silkeborg Cykling på vej","58,32","1.149","02:18:13","132","165","--","25,3","61,6","556","555","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","11,0","No","02:18:13","1","23,0","--","--","--","02:18:07","02:19:02","23","120"
Indoor Cycling,2024-04-11 20:00:33,false,"Indendørs cykling","15,06","481","00:40:02","136","153","--","22,6","33,1","--","--","NaN","NaN","NaN","NaN","78","107","182","29,4","186","173","337","NaN","NaN","3039","NaN","NaN","NaN","10,0","No","00:40:02","1","16,0","--","--","--","00:39:55","00:40:02","--","--"
Road Cycling,2024-04-08 14:03:36,false,"Silkeborg Cykling på vej","81,43","2.181","03:07:43","156","182","--","26,0","60,3","856","848","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","16,0","No","03:07:43","1","25,0","--","--","--","03:07:19","03:14:02","18","163"
Road Cycling,2024-03-30 11:03:07,false,"Silkeborg Cykling på vej","62,48","1.685","02:14:36","154","182","--","27,8","62,2","476","481","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","7,0","No","02:14:36","1","22,0","--","--","--","02:14:19","02:19:24","21","120"
Road Cycling,2024-03-26 12:36:45,false,"Silkeborg Cykling på vej","71,90","1.932","02:41:51","152","188","--","26,7","67,1","715","714","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","9,0","No","01:07:23","2","24,0","--","--","--","02:40:53","02:54:07","16","127"
Road Cycling,2024-03-23 09:52:10,false,"Silkeborg Cykling på vej","76,23","1.967","02:50:29","155","184","--","26,8","52,0","688","692","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","3,0","No","02:50:29","1","22,0","--","--","--","02:50:23","02:55:21","24","97"
Road Cycling,2024-03-20 16:03:21,false,"Silkeborg Cykling på vej","16,36","517","00:34:38","164","191","--","28,3","48,1","146","143","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","10,0","No","00:34:38","1","27,0","--","--","--","00:34:30","00:38:19","43","94"
Gravel/Unpaved Cycling,2024-03-02 08:34:51,false,"Silkeborg Cykling på grusveje/ikke brolagte veje","63,22","2.120","02:59:13","157","187","--","21,2","43,9","821","826","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","3,0","No","02:59:13","1","23,0","--","--","--","02:58:32","03:14:06","18","128"
Road Cycling,2024-02-28 10:10:40,false,"Silkeborg Cykling på vej","31,37","910","01:17:59","145","169","--","24,1","48,9","165","167","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","5,0","No","01:17:59","1","21,0","--","--","--","01:17:37","01:24:22","54","83"
Road Cycling,2024-02-25 08:34:44,false,"Silkeborg Cykling på vej","55,75","1.564","02:16:04","148","180","--","24,6","50,6","506","500","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","2,0","No","00:01:09,9","3","21,0","--","--","--","02:15:11","02:53:29","17","101"
Road Cycling,2024-02-24 08:28:33,false,"Silkeborg Cykling på vej","62,69","1.906","02:42:31","155","189","--","23,1","44,7","551","543","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","3,0","No","02:42:31","1","21,0","--","--","--","02:41:42","02:59:14","16","119"
Road Cycling,2024-02-17 08:40:56,false,"Silkeborg Cykling på vej","60,18","2.020","02:26:02","165","191","--","24,7","52,4","577","574","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","2,0","No","02:26:02","1","21,0","--","--","--","02:25:23","02:33:55","18","134"
Road Cycling,2024-02-04 08:53:15,false,"Silkeborg Cykling på vej","32,47","1.252","01:26:42","158","176","--","22,5","52,2","204","198","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","5,0","No","01:26:42","1","22,0","--","--","--","01:26:13","01:29:28","60","92"
Road Cycling,2024-01-28 08:28:02,false,"Silkeborg Cykling på vej","63,88","2.010","02:46:55","156","184","--","23,0","44,4","523","512","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","2,0","No","02:46:55","1","21,0","--","--","--","02:46:06","03:00:54","19","120"
Road Cycling,2024-01-25 10:31:31,false,"Silkeborg Cykling på vej","56,85","1.844","02:16:06","162","192","--","25,1","48,6","459","462","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","5,0","No","02:16:06","1","22,0","--","--","--","02:15:22","02:25:16","15","100"
Road Cycling,2023-08-16 13:50:30,false,"Aarhus Cykling på vej","60,09","1.390","02:31:22","134","182","--","23,8","46,1","418","425","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","21,0","No","02:31:22","1","26,0","--","--","--","02:30:16","02:49:18","-1","83"
Road Cycling,2023-08-10 15:48:58,false,"Aarhus Cykling på vej","54,96","1.246","02:26:43","131","181","--","22,5","54,2","495","421","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","17,0","No","02:26:43","1","22,0","--","--","--","02:25:55","02:35:58","4","95"
Road Cycling,2023-07-31 10:42:17,false,"Silkeborg Cykling på vej","56,20","1.156","02:22:19","129","171","--","23,7","52,3","356","356","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","15,0","No","02:22:19","1","25,0","--","--","--","02:22:09","02:23:40","30","99"
Road Cycling,2023-07-26 09:55:07,false,"Frederikshavn Cykling på vej","40,13","923","01:32:13","135","158","--","26,1","50,9","132","132","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","14,0","No","01:32:13","1","25,0","--","--","--","01:32:07","01:33:39","3","52"
Road Cycling,2023-07-24 10:05:03,false,"Frederikshavn Cykling på vej","55,69","1.188","02:14:56","135","169","--","24,8","46,9","458","459","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","17,0","No","02:14:56","1","25,0","--","--","--","02:14:47","02:16:13","4","77"
Road Cycling,2023-07-21 10:03:15,false,"Silkeborg Cykling på vej","61,33","1.418","02:17:01","143","164","--","26,9","58,8","351","349","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","16,0","No","02:17:01","1","24,0","--","--","--","02:16:58","02:17:11","29","100"
Road Cycling,2023-04-07 10:42:17,false,"Silkeborg Cykling på vej","83,04","3.363","03:36:22","--","--","--","23,0","49,0","782","764","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","6,0","No","03:36:22","1","22,0","--","--","--","03:35:12","04:05:39","19","127"
Road Cycling,2023-04-01 11:55:16,false,"Silkeborg Cykling på vej","47,40","2.001","02:05:59","--","--","--","22,6","45,4","477","492","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","4,0","No","02:05:59","1","12,0","--","--","--","02:04:58","02:28:33","15","119"
Road Cycling,2023-03-24 15:49:04,false,"Aarhus Cykling på vej","50,14","1.934","02:18:56","--","--","--","21,7","48,8","391","415","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","6,0","No","02:18:56","1","21,0","--","--","--","02:17:53","02:36:49","11","91"
Road Cycling,2023-02-28 12:28:23,false,"Aarhus Cykling på vej","73,32","2.939","03:22:00","--","--","--","21,8","46,8","653","671","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","6,0","No","03:22:00","1","21,0","--","--","--","03:20:07","03:43:57","12","108"
Road Cycling,2023-02-13 10:08:28,false,"Aarhus Cykling på vej","52,18","2.050","02:27:21","--","--","--","21,2","47,2","464","482","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","6,0","No","02:27:21","1","18,0","--","--","--","02:25:42","02:39:53","2","104"
Road Cycling,2023-01-12 14:46:31,false,"Aarhus Cykling på vej","50,27","2.087","01:56:01","--","--","--","26,0","51,6","342","352","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","2,0","No","01:56:01","1","20,0","--","--","--","01:55:07","02:13:25","12","90"
Road Cycling,2022-12-06 08:26:44,false,"Aarhus Cykling på vej","39,01","1.028","01:31:07","148","166","--","25,7","50,5","301","258","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","-2,0","No","01:31:07","1","1,0","--","--","--","01:30:34","01:33:38","12","92"
Cycling,2022-11-27 12:30:13,false,"Silkeborg Cykling","51,98","2.136","02:18:57","--","--","--","22,4","44,0","339","323","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","3,0","No","02:18:57","1","14,0","--","--","--","02:07:24","02:18:58","-15","64"
Cycling,2022-11-26 17:37:42,false,"Aarhus Cykling","50,05","2.282","02:02:05","--","--","--","24,6","52,3","305","314","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","2,0","No","02:02:05","1","15,0","--","--","--","01:45:31","02:02:06","-16","80"
Cycling,2022-09-25 11:30:56,false,"Aarhus Cykling","58,55","2.543","02:22:16","--","--","--","24,7","50,4","370","359","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","11,0","No","02:22:16","1","17,0","--","--","--","02:10:13","02:22:17","10","104"
Cycling,2022-08-13 11:20:03,false,"Aarhus Cykling","58,34","2.599","02:15:31","--","--","--","25,8","45,3","377","376","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","21,0","No","02:15:31","1","28,0","--","--","--","02:05:52","02:15:32","-70","11"
Cycling,2022-06-25 15:54:44,false,"Aarhus Cykling","37,04","1.418","01:50:03","--","--","--","20,2","52,1","270","268","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","23,0","No","01:50:03","1","30,0","--","--","--","01:43:17","01:50:04","22","84"
Cycling,2022-06-01 12:58:07,false,"Aarhus Cykling","39,34","1.770","01:40:23","--","--","--","23,5","48,8","254","257","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","12,0","No","01:40:23","1","19,0","--","--","--","01:26:26","01:40:24","6","86"
Cycling,2022-05-18 13:11:29,false,"Aarhus Cykling","36,53","1.621","01:36:13","--","--","--","22,8","49,5","240","234","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","17,0","No","01:36:13","1","21,0","--","--","--","01:21:46","01:36:14","26","112"
Cycling,2022-05-15 12:28:45,false,"Aarhus Cykling","58,03","2.760","02:06:04","--","--","--","27,6","55,7","395","393","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","16,0","No","01:00:01","2","21,0","--","--","--","01:55:13","02:06:06","13","95"
Cycling,2022-05-09 11:27:20,false,"Aarhus Cykling","57,71","2.639","02:08:32","--","--","--","26,9","44,9","406","397","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","15,0","No","02:08:32","1","22,0","--","--","--","02:04:10","02:20:29","-82","8"
Cycling,2021-04-25 10:46:44,false,"Aabenraa Cykling","30,50","1.378","01:09:20","--","--","--","26,4","53,6","288","287","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","9,0","No","01:09:20","1","19,0","--","--","--","01:08:37","01:09:26","0","78"
Cycling,2021-04-16 13:05:30,false,"Aabenraa Cykling","58,41","2.531","02:09:33","--","--","--","27,1","44,0","247","243","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","9,0","No","02:09:33","1","21,0","--","--","--","02:05:00","02:09:39","1","45"
Cycling,2021-03-30 12:32:32,false,"Aabenraa Cykling","66,52","2.895","02:33:01","--","--","--","26,1","47,6","351","351","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","12,0","No","02:33:01","1","21,0","--","--","--","02:25:06","02:33:06","2","74"
Cycling,2021-03-17 14:29:00,false,"Aabenraa Cykling","33,32","1.527","01:14:31","--","--","--","26,8","54,4","320","318","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","5,0","No","01:14:31","1","19,0","--","--","--","01:13:31","01:14:32","-8","73"
Cycling,2021-03-14 12:05:27,false,"Aabenraa Cykling","68,47","3.016","02:48:42","--","--","--","24,4","46,1","396","402","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","4,0","No","02:48:42","1","19,0","--","--","--","02:32:16","02:48:43","-6","71"
Cycling,2021-03-08 13:12:38,false,"Aabenraa Cykling","59,24","2.506","02:37:45","--","--","--","22,5","43,4","262","252","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","3,0","No","02:37:45","1","19,0","--","--","--","02:10:37","02:37:46","50","99"
Cycling,2021-03-05 10:59:56,false,"Aabenraa Cykling","69,02","3.013","02:38:26","--","--","--","26,1","49,1","350","352","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","3,0","No","02:38:26","1","19,0","--","--","--","02:29:02","02:38:27","2","81"
Cycling,2021-03-02 14:33:47,false,"Aabenraa Cykling","25,95","1.258","00:58:43","--","--","--","26,5","56,0","247","186","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","--","No","00:58:43","1","2,0","--","--","--","00:57:44","00:59:19","-166","62"
Cycling,2021-02-28 10:51:17,false,"Aabenraa Cykling","54,08","2.271","01:54:23","--","--","--","28,4","45,1","150","147","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","4,0","No","00:51:45","2","19,0","--","--","--","01:54:17","01:54:25","14","76"
Cycling,2021-02-23 11:56:55,false,"Aabenraa Cykling","31,89","1.362","01:08:21","--","--","--","28,0","47,3","164","163","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","7,0","No","01:08:21","1","21,0","--","--","--","01:08:08","01:08:28","10","78"
Cycling,2021-02-21 11:58:20,false,"Aabenraa Cykling","52,27","2.183","01:55:00","--","--","--","27,3","42,1","172","175","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","11,0","No","01:55:00","1","18,0","--","--","--","01:52:21","01:55:07","-4","65"
Cycling,2021-02-20 10:36:31,false,"Aabenraa Cykling","25,59","1.093","01:21:09","--","--","--","18,9","48,4","312","308","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","6,0","No","01:21:09","1","18,0","--","--","--","01:16:13","01:21:11","-3","73"
Cycling,2021-02-18 12:49:42,false,"Aabenraa Cykling","56,18","2.349","02:21:06","--","--","--","23,9","51,5","435","389","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","5,0","No","02:21:06","1","20,0","--","--","--","02:17:40","02:22:01","12","110"
Cycling,2021-02-16 12:27:16,false,"Aabenraa Cykling","16,46","688","01:06:11","--","--","--","14,9","40,1","244","237","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","--","No","01:06:11","1","15,0","--","--","--","01:03:10","01:14:21","12","95"
Cycling,2021-01-02 14:43:54,false,"Aabenraa Cykling","17,30","797","01:02:24","--","--","--","16,6","44,1","341","347","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","-1,0","No","00:12:18","2","16,0","--","--","--","01:01:29","01:19:19","4","68"
Cycling,2020-12-21 12:34:22,false,"Aabenraa Cykling","54,69","2.206","01:57:57","--","--","--","27,8","40,9","141","131","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","3,0","No","01:57:57","1","18,0","--","--","--","01:57:35","02:00:29","23","82"
Cycling,2020-11-14 13:05:01,false,"Aarhus Cykling","49,82","2.103","02:16:38","--","--","--","21,9","45,4","437","425","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","5,0","No","02:16:38","1","19,0","--","--","--","02:14:19","02:43:13","-16","84"
Cycling,2020-11-09 12:20:38,false,"Aarhus Cykling","41,72","1.715","01:40:19","--","--","--","25,0","45,8","242","240","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","5,0","No","00:38:08","2","17,0","--","--","--","01:39:34","01:45:27","-81","10"
Cycling,2020-11-04 11:25:24,false,"Aarhus Cykling","31,82","1.344","01:24:58","--","--","--","22,5","50,7","292","297","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","9,0","No","01:24:58","1","18,0","--","--","--","01:24:37","01:29:37","-12","76"
Cycling,2020-11-03 12:30:45,false,"Aarhus Cykling","29,71","1.268","01:17:32","--","--","--","23,0","45,0","230","237","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","8,0","No","01:17:32","1","17,0","--","--","--","01:16:28","01:28:15","-16","69"
Cycling,2020-10-22 12:18:44,false,"Aarhus Cykling","55,39","2.149","02:41:15","--","--","--","20,6","42,8","459","506","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","11,0","No","02:41:15","1","17,0","--","--","--","02:39:06","03:08:31","62","179"
Cycling,2020-10-16 12:21:19,false,"Aarhus Cykling","53,00","2.300","01:54:59","--","--","--","27,7","47,5","374","372","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","8,0","No","01:54:59","1","17,0","--","--","--","01:54:12","02:00:59","-72","13"
Cycling,2020-10-15 13:40:17,false,"Aarhus Cykling","37,21","1.177","01:26:58","157","181","--","25,7","54,6","275","271","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","--","No","00:06:27,6","8","NaN","--","--","--","01:20:57","01:26:58","43","108"
Cycling,2020-10-13 16:32:41,false,"Aarhus Cykling","22,29","695","00:53:15","151","185","--","25,1","49,2","110","113","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","--","No","00:06:20,1","5","NaN","--","--","--","00:48:12","00:54:02","2","84"
Cycling,2020-10-11 11:40:51,false,"Aarhus Cykling","40,04","1.235","01:39:28","151","184","--","24,2","45,2","147","150","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","--","No","00:00:17,0","9","NaN","--","--","--","01:27:45","01:39:28","4","88"
Cycling,2020-07-17 11:13:19,false,"Aarhus Cykling","34,74","1.023","01:31:25","150","177","--","22,8","48,6","241","242","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","--","No","00:10:27","7","NaN","--","--","--","01:22:10","01:31:25","12","98"
Cycling,2019-06-28 12:39:20,false,"Aarhus Cykling","105,61","2.697","04:28:06","141","184","--","23,6","53,9","703","692","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:01:45,7","22","NaN","--","--","--","04:04:02","04:28:06","61","173"
Cycling,2019-06-22 12:11:40,false,"Aarhus Cykling","31,15","899","01:07:07","145","184","--","27,8","51,0","118","116","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:02:31,8","7","NaN","--","--","--","01:04:50","01:07:07","55","128"
Cycling,2019-06-07 14:30:28,false,"Aarhus Cykling","31,46","997","01:18:11","145","181","--","24,1","49,3","163","153","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:03:18,4","7","NaN","--","--","--","01:10:19","01:18:11","10","91"
Cycling,2019-06-05 11:49:01,false,"Aarhus Cykling","43,54","1.243","01:47:10","141","182","--","24,4","44,2","266","277","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:07:36,1","9","NaN","--","--","--","01:40:36","01:48:53","47","135"
Cycling,2019-06-02 16:01:56,false,"Aarhus Cykling","16,71","469","00:37:42","140","181","--","26,6","60,1","139","133","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:04:37,5","4","NaN","--","--","--","00:37:30","00:37:42","83","127"
Cycling,2019-05-25 10:16:20,false,"Aarhus Cykling","61,09","1.912","02:27:13","152","182","--","24,9","48,5","296","302","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:02:35,7","13","NaN","--","--","--","02:16:19","02:27:13","2","84"
Cycling,2019-05-19 14:21:15,false,"Aarhus Cykling","45,41","1.385","01:37:55","152","178","--","27,8","48,8","289","286","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:00:52,0","10","NaN","--","--","--","01:35:45","01:37:55","33","124"
Cycling,2019-05-16 15:48:00,false,"Aarhus Cykling","32,55","1.099","01:21:02","150","174","--","24,1","53,3","246","237","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:05:04,5","7","NaN","--","--","--","01:13:09","01:21:02","69","147"
Cycling,2019-05-11 13:04:35,false,"Aarhus Cykling","67,45","2.150","02:42:20","155","181","--","24,9","55,7","374","385","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:06:58,4","14","NaN","--","--","--","02:29:43","02:42:20","-9","108"
Cycling,2019-04-21 10:03:33,false,"Aarhus Cykling","75,55","1.858","03:05:28","138","167","--","24,4","43,9","413","331","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:01:23,5","16","NaN","--","--","--","02:53:39","03:05:28","8","100"
Cycling,2019-04-20 11:26:21,false,"Aarhus Cykling","52,43","1.703","02:08:34","152","180","--","24,5","43,9","287","278","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:05:21,6","11","NaN","--","--","--","02:01:33","02:08:34","4","100"
Cycling,2019-04-17 12:29:51,false,"Aarhus Cykling","57,06","1.830","02:53:08","135","172","--","19,8","50,8","342","338","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:05:53,1","12","NaN","--","--","--","02:25:00","03:10:09","-9","77"
Cycling,2019-04-14 17:20:04,false,"Aarhus Cykling","6,74","252","00:15:34","157","180","--","26,0","36,9","24","18","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:03:41,8","2","NaN","--","--","--","00:14:54","00:15:34","39","58"
Cycling,2019-04-09 13:50:24,false,"Aarhus Cykling","6,71","245","00:18:22","136","165","--","21,9","33,5","25","17","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","--","No","00:04:22,5","2","NaN","--","--","--","00:18:03","00:18:22","67","85"
Cycling,2019-03-19 11:26:39,false,"Aarhus Cykling","64,05","2.567","02:39:13","--","--","--","24,1","47,8","387","390","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","5,0","No","02:39:13","1","18,0","--","--","--","02:36:05","03:27:26","-76","11"
Cycling,2019-02-28 12:53:27,false,"Aarhus Cykling","36,85","1.543","01:26:08","--","--","--","25,7","48,3","299","294","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","8,0","No","01:26:08","1","22,0","--","--","--","01:24:48","01:27:37","32","115"
Cycling,2019-01-20 13:46:02,false,"Aarhus Cykling","52,46","2.185","01:58:22","--","--","--","26,6","49,0","351","350","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","-2,0","No","01:58:22","1","18,0","--","--","--","01:57:30","02:04:41","-16","68"
Cycling,2019-01-18 12:31:50,false,"Aarhus Cykling","19,37","807","00:59:45","--","--","--","19,5","40,4","200","201","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","-1,0","No","00:NaN:NaN","1","11,0","--","--","--","00:58:35","01:15:50","37","108"
Cycling,2018-11-07 11:33:25,false,"Aarhus Cykling","60,01","2.419","02:30:02","--","--","--","24,0","56,2","429","430","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","6,0","No","00:NaN:NaN","1","16,0","--","--","--","02:27:58","03:10:36","59","136"
Cycling,2018-10-15 13:28:22,false,"Aarhus Cykling","75,35","2.960","03:06:23","--","--","--","24,3","48,8","424","423","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","--","12,0","No","00:NaN:NaN","1","24,0","--","--","--","03:04:37","03:23:18","2","114"
