Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2024-07-30 10:37:13,false,"Silkeborg Road Cycling","58,16","1.762","01:54:43","157","184","4,4","30,4","67,4","497","497","NaN","NaN","NaN","NaN","82","118","254","160,7","253","229","649","NaN","NaN","9353","NaN","NaN","NaN","20,0","No","00:54:43","2","28,0","34","19","45","01:54:38","01:56:05","25","122"
Road Cycling,2024-07-28 07:14:05,false,"Silkeborg - Base","97,31","2.704","03:26:33","139","188","4,4","28,3","59,1","838","839","NaN","NaN","NaN","NaN","78","108","222","213,4","236","191","852","NaN","NaN","15741","NaN","NaN","NaN","14,0","No","03:26:33","1","25,0","29","19","44","03:26:31","03:30:34","6","89"
Road Cycling,2024-07-25 09:17:25,false,"Silkeborg - Long Ride","127,62","3.494","04:57:54","140","187","4,8","25,7","55,6","934","943","NaN","NaN","NaN","NaN","76","104","191","228,4","202","168","910","NaN","NaN","22015","NaN","NaN","NaN","17,0","No","00:20:54","2","27,0","29","19","42","04:57:25","05:14:24","19","125"
Indoor Cycling,2024-07-23 09:59:31,false,"VO2 Max","0,00","1.067","01:15:01","154","191","4,5","--","--","--","--","NaN","NaN","NaN","NaN","81","109","260","105,6","273","210","836","NaN","NaN","6095","NaN","NaN","NaN","18,0","No","00:01:00","18","26,0","36","24","50","00:00:00","01:17:15","--","--"
Indoor Cycling,2024-07-22 10:47:51,false,"Base","34,36","873","01:10:00","134","142","2,8","29,5","34,1","--","--","NaN","NaN","NaN","NaN","85","97","182","50,5","184","181","545","NaN","NaN","5951","NaN","NaN","NaN","26,0","No","00:00:00,4","2","27,0","27","20","31","01:09:18","01:10:00","--","--"
Road Cycling,2024-07-21 10:27:38,false,"Silkeborg - Base","58,18","1.551","02:07:33","137","187","3,4","27,4","51,1","427","426","NaN","NaN","NaN","NaN","80","104","209","122,6","204","175","852","NaN","NaN","10183","NaN","NaN","NaN","25,0","No","00:58:50","2","32,0","29","18","42","02:07:32","02:16:49","61","98"
Road Cycling,2024-07-20 07:40:20,false,"Silkeborg - Long Ride","100,36","2.627","03:46:06","135","173","4,0","26,6","54,9","767","767","NaN","NaN","NaN","NaN","80","106","178","158,1","190","167","540","NaN","NaN","17992","NaN","NaN","NaN","17,0","No","00:00:06,3","2","28,0","28","18","36","03:46:05","03:56:59","25","139"
Road Cycling,2024-07-18 15:47:20,false,"Silkeborg - Base","36,66","1.006","01:18:02","138","149","3,0","28,2","50,5","261","263","NaN","NaN","NaN","NaN","85","109","189","61,3","194","188","355","NaN","NaN","6689","NaN","NaN","NaN","19,0","No","00:08:02,4","2","28,0","29","20","36","01:17:59","01:24:11","60","98"
Road Cycling,2024-07-17 11:24:58,false,"Silkeborg - Base","45,61","1.251","01:35:27","139","160","3,3","28,7","50,6","323","325","NaN","NaN","NaN","NaN","86","112","198","82,0","198","191","762","NaN","NaN","8142","NaN","NaN","NaN","20,0","No","00:06:47,8","4","28,0","31","21","35","01:35:19","01:38:02","60","97"
Indoor Cycling,2024-07-16 09:55:21,false,"Tempo","35,98","982","01:11:01","149","170","3,5","30,4","32,1","--","--","NaN","NaN","NaN","NaN","82","104","211","69,2","231","203","282","NaN","NaN","5833","NaN","NaN","NaN","21,0","No","00:00:00,5","4","26,0","30","20","37","01:10:53","01:12:57","--","--"
Indoor Cycling,2024-07-14 11:13:40,false,"Base","41,97","975","01:30:00","126","151","2,7","28,0","31,8","--","--","NaN","NaN","NaN","NaN","83","92","153","46,2","153","153","448","NaN","NaN","7510","NaN","NaN","NaN","20,0","No","00:00:00,5","2","25,0","27","18","34","01:29:49","01:32:54","--","--"
Indoor Cycling,2024-07-13 14:42:15,false,"Base","40,03","954","01:30:01","128","144","2,7","26,7","187,3","--","--","NaN","NaN","NaN","NaN","86","108","153","46,2","157","149","412","NaN","NaN","7525","NaN","NaN","NaN","20,0","No","00:00:01,1","2","26,0","27","21","33","01:25:32","01:30:01","--","--"
